AverageOfP2O5,AverageOfCaO,AverageOfTotalSolids_TS,AverageOf +0.150mm ,AverageOf +1mm%,Average of Al2O3,Average of MgO,Average of Fe2O3,Average of SiO2,R.Average of P2O52,R.Average of Solids,R.Average of SO4,production ,input,recovery
25.25166667,52.12416667,46.01666667,57.4175,2.96375,0.4175,0.26,0.334166667,3.621666667,21.4375,26.94,3.345,1969.124916,2257.813008,0.872138175
24.28,52.21583333,46.41666667,53.79625,3.3225,0.4425,0.340833333,0.334166667,3.5975,21.2375,27.6525,2.17,888.3881105,1920.004353,0.462701092
25.61666667,51.96833333,43.80833333,51.91,1.07,0.583333333,0.450833333,0.468333333,3.758333333,20.9075,25.2925,2.8,356.0727486,1898.431324,0.187561564
29.588,52.146,49.23,64.72375,3.92375,0.447,0.525,0.43,3.314,21.3375,22.8675,2.545,1246.59788,2412.338864,0.516759025
29.94555556,52.24666667,46.31111111,66.39857143,1.79,0.475555556,0.693333333,0.441111111,2.853333333,22.1375,25.565,2.805,919.3701889,2029.870143,0.452920692
28.364,52.191,47.5,62.17875,1.91875,0.445,0.681,0.414,3.131,21.32,27.0675,2.9225,1703.157583,2182.199142,0.780477615
26.258,51.453,49.8,57.765,1.935,0.491,0.452,0.433,4.715,22.9575,25.5675,2.205,1405.052035,2390.896584,0.587667423
24.805,50.37166667,46.825,55.45875,1.225,0.586666667,0.33,0.483333333,6.430833333,20.875,30.0275,2.565,1460.085659,2137.576266,0.683056639
25.59727273,48.62454545,47.91818182,57.11714286,1.61,0.475454545,0.171818182,0.424545455,10.03727273,20.8075,25.1675,3.2475,898.7912561,2095.462292,0.428922658
26.11214286,49.46,49.82857143,55.08888889,1.042222222,0.425,0.187857143,0.387142857,7.931428571,22.008,26.734,2.506,2501.724257,2977.888317,0.840100095
24.25285714,50.8052381,49.81904762,49.472,2.024666667,0.462380952,0.188571429,0.412857143,6.802857143,22.51333333,27.17,2.951666667,995.2043991,2761.51477,0.360383515
23.07866667,50.83466667,54.28666667,50.85666667,3.19,0.540666667,0.167333333,0.465333333,6.661333333,22.54666667,26.39166667,2.681666667,5152.595044,3247.259436,1.586751889
22.82461538,51.92461538,55.62307692,52.03818182,3.960909091,0.543076923,0.206923077,0.469230769,4.832307692,21.54833333,27.48166667,3.033333333,1252.561084,2711.760912,0.461899527
24.22466667,51.508,55.59333333,55.24083333,4.465,0.548666667,0.336666667,0.466666667,5.223333333,23.17833333,26.24833333,2.996666667,3905.957084,3426.67579,1.13986771
22.51076923,51.81615385,50.81538462,51.19818182,4.767272727,0.649230769,0.256153846,0.557692308,4.647692308,24.678,27.468,4.014,1629.065728,2478.324756,0.657325367
21.14666667,51.44466667,42.36,43.17666667,1.874444444,0.771333333,0.294666667,0.662,3.916,19.555,26.34166667,3.188333333,1181.657142,1636.57968,0.722028482
24.094,50.766,45.43333333,62.55111111,7.363333333,0.787333333,0.294666667,0.626666667,4.042,17.16,19.505,2.6,1184.497489,1934.862117,0.612187028
23.91,51.209,47.59,59.96125,9.98125,0.773,0.326,0.619,3.213,14.6925,20.92,3.925,1060.389988,1521.899518,0.69675427
25.002,49.557,47.82,59.365,8.243333333,0.447,0.243,0.366,7.223,17.1775,19.9675,2.19,321.3467151,1480.117815,0.217108876
25.325,49.784,47.52,48.785,1.7125,0.556,0.482,0.442,6.335,20.56,25.345,2.685,855.7590821,2254.098157,0.379645882
24.061,49.036,55.17,54.6175,1.2325,0.418,0.328,0.332,8.35,25.17,26.91,3.01,3088.988285,2648.086853,1.166498101
26.78,49.071,54.82,53.89625,0.75875,0.44,0.386,0.33,7.762,27.7675,29.885,2.77,2421.359751,2660.217058,0.910211347
25.59111111,49.25777778,52.21111111,56.77714286,1.69,0.445555556,0.401111111,0.263333333,7.503333333,24.405,28.765,3.6225,2127.863115,2349.103925,0.905819062
26.86833333,49.50166667,55.71666667,55.8075,0.75875,0.393333333,0.21,0.16,7.555,26.7525,28.915,2.4825,1943.442973,2984.185429,0.65124739
28.39375,50.6625,53.425,61.3325,0.9325,0.31875,0.1375,0.1025,5.76,26.4225,27.66,2.8225,3535.482923,2987.733276,1.183332847
27.23,49.91666667,59.06666667,61.2075,0.62,0.250833333,0.149166667,0.090833333,7.2825,25.995,28.2725,2.27,1953.907128,2951.429284,0.662020648
26.6525,48.44083333,61.075,61.855,0.90125,0.5425,0.120833333,0.178333333,8.835,26.4925,28.1575,3.275,1147.813198,2938.737336,0.390580398
26.35916667,49.2725,57.26666667,60.61875,0.96375,0.3625,0.195,0.189166667,7.710833333,25.935,25.815,3.6925,3253.167525,2753.677557,1.181390144
26.0625,49.30125,54.9875,61.56,1.543333333,0.23625,0.195,0.11875,8.005,24.965,27.1125,2.57,1820.611561,1484.054029,1.226782533
26.38636364,48.73,52.57272727,55.81222222,0.596666667,0.235454545,0.145454545,0.193636364,8.860909091,22.096,25.902,3.35,2937.85368,3031.422508,0.96913369
25.76142857,48.05928571,52.40714286,58.43166667,0.790833333,0.440714286,0.241428571,0.363571429,9.607142857,21.964,23.762,3.618,2186.616886,2542.112312,0.860157467
27.74125,49.455625,52.31875,57.004,2.6,0.231875,0.22125,0.175625,7.5,21.99666667,26.355,2.28,3011.221061,2995.634746,1.005203009
28.223,49.913,54.62,65.285,6.63375,0.203,0.226,0.112,7.077,22.684,27.786,2.112,728.2704151,1930.031462,0.377336033
26.95166667,48.85583333,45.575,57.905,0.26125,0.436666667,0.134166667,0.279166667,8.485,21.26333333,21.63666667,3.8,1306,1939.747492,0.67328351
30.866,51.085,45.43,64.59125,2.1925,0.258,0.216,0.119,4.64,20.25,24.56333333,2.556666667,2338.39566,1526.930775,1.531435281
29.727,51.182,40.58,61.1525,1.2425,0.172,0.312,0.088,4.707,19.882,21.962,2.474,662.1106972,1812.96851,0.365208052
26.11181818,50.15636364,46.66363636,61.95666667,0.454444444,0.176363636,0.151818182,0.080909091,6.897272727,18.642,20.446,2.434,1316,2179.631518,0.603771779
25.53615385,49.96230769,51.86923077,60.674,0.705,0.242307692,0.220769231,0.161538462,7.153076923,21.10833333,24.15666667,2.163333333,1931.442928,2450.214072,0.788275176
27.74071429,50.50285714,48.85,63.97125,2.5875,0.492857143,0.415,0.386428571,5.229285714,22.12666667,33.70333333,2.491666667,1900.425612,2572.167404,0.738842118
28.40785714,50.10571429,48.42857143,59.66636364,1.803636364,0.744285714,0.487142857,0.614285714,4.648571429,23.69666667,29.80666667,2.19,2095.274347,2538.518781,0.825392493
28.686,49.21533333,51.89333333,60.75272727,1.316363636,0.651333333,0.353333333,0.544,6.371333333,25.01333333,26.41166667,2.726666667,1952.498067,2499.614109,0.781119798
27.01388889,48.77722222,53.71666667,54.665,0.6425,0.454444444,0.222222222,0.375,8.122777778,26.13833333,28.26,2.066666667,2401.472192,2715.563468,0.88433661
26.53111111,49.20722222,55.50555556,53.04583333,1.283333333,0.550555556,0.255555556,0.478333333,6.953888889,26.41,30.83,1.775,2501.845031,2787.192076,0.897622038
28.11222222,49.70944444,57.59444444,64.67166667,1.696666667,0.23,0.186111111,0.165,6.872222222,26.91,26.60833333,2.468333333,2808.618798,3446.476037,0.814924801
26.97111111,49.79388889,57.65555556,59.01,1.01,0.281111111,0.321666667,0.308333333,6.373333333,27.765,33.895,2.69,3504.722586,3797.055776,0.923010562
26.68611111,49.50666667,57.51111111,58.37666667,2.253333333,0.403888889,0.410555556,0.436111111,6.365,26.50666667,31.31166667,2.766666667,3307.767822,3528.045115,0.937563924
25.26066667,49.35933333,59.06,58.47222222,1.098888889,0.378666667,0.353333333,0.362666667,7.214666667,25.39666667,31.00333333,2.585,3640.662918,3975.676541,0.915734185
25.67777778,49.16555556,59.51111111,62.72833333,2.045,0.208888889,0.294444444,0.21,7.900555556,25.07,27.22166667,2.518333333,3541.865685,3927.898119,0.901720355
27.23222222,49.31444444,58.88333333,63.68583333,1.6425,0.166666667,0.2,0.141666667,8.051111111,25.53333333,28.35833333,2.181666667,2842.106499,3192.607549,0.890214803
26.12611111,48.99944444,60.08333333,64.64333333,1.52,0.270555556,0.190555556,0.163888889,8.323333333,27.35,30.84166667,2.67,2526.479401,2838.041656,0.89021928
24.89166667,49.23333333,55.63333333,56.495,1.5425,0.343333333,0.19,0.267777778,7.415,26.11833333,28.825,2.251666667,2151.199284,2416.960541,0.890043196
25.75444444,48.12388889,57.93888889,61.73333333,0.985,0.425555556,0.189444444,0.345555556,8.050555556,26.51166667,27.77333333,2.288333333,3728.193712,3992.067024,0.933900581
26.380625,48.69,60.988125,59.00666667,1.242222222,0.319375,0.19,0.4125,6.46875,27.53166667,28.77833333,1.986666667,3909.071537,4329.758585,0.902838221
24.93263158,49.95789474,59.90105263,58.10833333,1.766666667,0.421578947,0.189473684,0.435789474,6.192631579,25.13666667,30.69666667,2.473333333,3767.050694,4123.469444,0.913563383
25.44842105,49.17,58.99210526,55.51333333,1.295,0.538947368,0.19,0.48,7.576315789,26.34833333,29.81166667,2.615,3350.864859,3735.474657,0.897038574
25.61157895,48.69631579,59.61894737,57.16166667,0.965,0.528947368,0.19,0.496842105,7.899473684,26.25333333,30.36666667,2.221666667,3864.122909,4324.128703,0.893618848
26.62105263,48.86315789,60.09315789,59.95083333,0.8275,0.412105263,0.19,0.338947368,7.357368421,26.395,28.11833333,3.378333333,4063.546564,4393.233619,0.92495572
